ID,Group,Feature_1,Feature_2,Feature_3
ID387,B,2440.9386312475017,424.4413228051825,4864.831856070899
ID537,B,1705.4985112217444,400.82054702908084,3414.2346311233505
ID789,C,2773.7680791635566,391.40748279708646,-2406.2934543745378
ID535,A,2565.610303285159,396.3478901317878,5734.947794328076
ID486,B,3133.587706525084,424.0026029250605,6253.732835365872
ID315,B,2804.07672254443,410.370063775848,5614.512651684788
ID161,C,2550.3336576344673,402.47778595186344,-2147.318218912763
ID631,A,2430.2970392063935,385.2086739078359,5390.1603195354655
ID611,A,2612.9363083820167,415.33012769855094,5763.340129777456
ID222,C,2547.073875942989,399.1399400099644,-2157.8561708331313
ID403,C,2241.9781266560594,406.67713622188165,-1837.8090345503772
ID164,A,2498.9582391284757,388.208402988869,5563.921938169644
ID128,A,2742.1315512551764,395.6258018866274,6254.942447433723
ID634,A,3029.4232285643293,393.9283380362072,7122.309792317919
ID201,C,2920.284537640796,403.6873935848242,-2517.60577154041
ID309,C,3026.423060082605,421.495294678447,-2599.495183610854
ID360,C,2351.1190458479623,400.9264271088306,-1971.8975475299044
ID159,C,2563.5227376096864,388.71388443714494,-2170.8330254053594
ID190,C,2321.0274130196876,395.7466991030094,-1942.1668337419574
ID721,B,2625.673132817401,367.8161892388807,5246.399613522286
ID683,B,2498.8286993316933,377.71429226440375,4993.726685287511
ID662,B,2744.4270576943522,413.02909004102236,5477.504174476083
ID514,B,2286.1972577413526,389.46876334418056,4555.578805067955
ID234,A,2484.1567189537573,432.5900214058021,5295.786251377653
ID293,A,1929.7212086307197,401.38388135463555,3780.1564189357714
ID557,A,2370.66379649165,395.8278171135567,5102.5010848340935
ID377,A,2414.9500746857548,382.3023652445817,5357.670597133203
ID663,C,2322.0845887303535,403.00535242963076,-1928.1574713581958
ID589,C,2942.194352039344,410.70948852857805,-2525.5191922251065
ID378,A,2458.0500923675263,400.2229833411097,5385.313113041928
ID458,B,2745.244447060037,395.9118698565578,5513.810393570233
ID199,C,2127.6082678849116,432.1706637424509,-1712.0216726111728
ID467,C,2564.999128534105,384.36132839488573,-2202.90318036016
ID368,A,2299.643674527764,420.38989321721266,4816.623443617495
ID544,A,2407.0781849852397,383.35725260925346,5308.039747695036
ID337,B,1714.7146265424763,389.88621639053093,3428.8505861545864
ID465,B,2970.8767219759957,427.56709752435904,5961.658709783235
ID879,B,1917.8265269485864,379.9718441419298,3833.0322384617116
ID282,A,2606.81370154961,399.11249062973354,5817.254103576413
ID111,B,2851.079767081986,394.99135577419344,5707.114169135552
ID396,C,2764.6752954459243,383.70695294692223,-2399.4245785911025
ID285,A,2426.3489265230905,380.88025285660854,5380.716221928436
ID250,C,2249.3246266297765,368.38982446799656,-1880.0955328789748
ID783,A,2883.023251098006,410.94800234245,6582.005164345798
ID754,B,2961.5525627146485,387.5179196271246,5913.620975751168
ID811,A,2584.0220852363054,398.6669495614629,5755.687329966418
ID682,B,2851.0997943321113,381.4877703707331,5682.920980619286
ID261,C,2640.434696473471,399.54497634715915,-2249.736711046558
ID452,B,2009.9190807562352,422.1363784186035,4035.543496873507
ID849,B,2662.4479192186523,402.441091555128,5316.117842790983
ID297,C,2833.7550791721596,405.30913256653145,-2414.914628033133
ID394,A,2229.3041059545676,389.5550871902853,4733.4278491790565
ID272,A,2653.6958308852895,376.61321234062495,6055.790465576868
ID599,A,3200.1822876748224,398.2662465439914,7618.189590657033
ID869,B,2809.223653004704,381.86814435264176,5603.450926455522
